MAE,RMSE,SFN,MAPE
124.76162,175.51837,1.0462728,0.35451004
113.87537,166.98865,1.0437788,0.32817292
88.70473,130.92076,1.0538409,0.24974735
204.79646,298.88498,1.3500597,0.6316237
122.27655,185.03195,1.1686394,0.34917513
91.9585,133.88612,0.8956287,0.24845006
80.915825,113.6236,0.8646486,0.24196407
211.03069,286.9034,1.3476666,0.59871644
86.513336,127.74475,0.9102496,0.24029289
90.35623,123.796234,0.87346876,0.27772605
119.27629,174.05098,1.0766765,0.31387368
123.97212,178.26187,1.0425973,0.34911454
167.96042,239.29018,1.3281553,0.4614132
108.808914,150.78944,0.91938597,0.3489455
82.22644,121.275215,0.97826576,0.2245168
185.27042,250.17867,1.1985857,0.53978014
292.29813,367.46466,1.8797829,0.8785161
113.38458,171.15514,0.9637388,0.33055854
113.20102,164.39413,1.0186703,0.32735002
120.3445,171.54512,0.99885374,0.36096245
78.81375,114.04591,0.8545588,0.22714727
97.51557,128.99945,0.8664379,0.30453143
155.03102,230.42166,1.1952503,0.43095624
122.3445,171.36046,0.9850143,0.36699164
118.83549,180.60947,1.1844903,0.3228888
80.835785,114.50899,0.85679454,0.2337982
72.2736,108.948074,0.84388554,0.18507026
194.51172,263.54163,1.2427633,0.57000947
76.60774,116.06742,0.8955673,0.21234924
93.87915,127.62891,0.8844421,0.27686843
162.44153,245.11548,1.2987213,0.41850394
127.04917,178.54079,1.0207387,0.36775324
118.197945,163.09297,1.001542,0.33840665
89.2467,123.358284,0.8554454,0.27000225
72.42098,107.7364,0.8535583,0.18633884
169.39655,231.41196,1.1754711,0.48385125
142.32986,200.68349,1.1602529,0.3982345
96.642235,129.77206,0.9019652,0.28915006
77.8105,118.21417,0.8711164,0.21594788
183.63704,247.70715,1.1477,0.54357326
249.10754,349.8225,1.9512488,0.6457455
99.711494,149.65736,0.9555185,0.29812884
78.55819,116.89133,0.87983,0.1988212
107.1866,162.48094,0.9764121,0.31694916
130.5076,177.5257,1.0518056,0.3984463
79.36829,117.7582,0.8579589,0.2123445
115.96766,178.92876,1.0952852,0.30766398
143.68185,200.1524,1.0498407,0.40858233
164.32254,238.78299,1.3587434,0.45008925
77.982506,116.3748,0.8715224,0.21671914
72.545296,108.414665,0.8398137,0.18670541
144.9313,196.83661,1.0238602,0.4286977
71.67369,105.10566,0.8449722,0.18964876
77.61159,121.03712,0.85550666,0.19636647
95.20838,134.83917,0.9133743,0.29983544
145.52614,201.5109,1.0424339,0.42164284
192.62094,279.06073,1.5423102,0.5055687
91.61101,129.10402,0.89114195,0.26244834
85.37159,130.50598,0.97766936,0.23417422
160.79497,218.15369,1.1113589,0.47720948
272.8999,335.5103,1.682538,0.8199856
90.61987,132.38927,0.8804884,0.25192216
133.35245,194.81773,1.0908556,0.37583664
95.762505,141.89421,0.93227863,0.2839861
243.02461,314.19376,1.4463496,0.7297993
87.07489,127.761925,0.90040374,0.25212303
78.91238,117.43161,0.8838042,0.20426823
116.75953,162.2504,0.9329995,0.34410527
77.74358,115.5921,0.86510074,0.20548718
81.54415,119.78878,0.86997336,0.22309431
95.423515,143.73462,0.9496295,0.2518597
98.01005,145.37202,0.91488135,0.27665174
108.27827,150.23868,0.9352267,0.31933254
86.654495,121.84512,0.84240544,0.25850555
73.32383,114.925896,0.8735421,0.20044717
124.41393,169.47449,0.94876075,0.36438414
256.21982,346.18488,1.81018,0.6821939
82.72537,133.34926,0.91001666,0.2130049
188.14906,254.34996,1.3626205,0.5794885
80.359604,123.51398,0.8518751,0.20051394
84.8338,127.62395,0.91178674,0.23841599
87.96448,120.47664,0.8390177,0.2722891
85.03971,123.31211,0.86439806,0.24395001
166.90503,233.45932,1.1392895,0.4698738
125.90148,179.42616,1.0958577,0.34884143
75.34232,109.82643,0.8504728,0.2143883
75.927216,115.64738,0.9093627,0.205955
107.16993,152.67183,0.91958296,0.30315104
208.72287,289.28674,1.4972465,0.55593765
86.61278,135.06323,0.9005848,0.25950292
84.95481,121.25674,0.86247194,0.2543656
209.75494,278.21094,1.3788264,0.62169504
138.38298,189.94342,1.0473043,0.4041478
87.78882,122.585556,0.85600615,0.25612593
80.147575,115.570564,0.85083276,0.23485221
114.19207,161.44283,0.93146014,0.33064345
91.81676,133.72159,0.9204143,0.2564892
87.51115,127.69439,0.88376355,0.24462323
109.63287,165.7005,1.0618982,0.27182275
116.29445,167.8561,0.97927475,0.3530747
76.65567,115.44408,0.8478758,0.20984587
92.19735,128.1737,0.8581689,0.2704373
113.0112,171.32315,0.99770933,0.2934419
112.63025,161.2403,0.96499217,0.31932008
144.20148,201.21556,1.1669419,0.40199456
91.34868,127.653076,0.86048216,0.27850518
78.40844,128.16884,0.8531443,0.20776415
186.78271,251.07985,1.1762364,0.5534476
130.32448,186.30016,1.0843225,0.36028776
83.11289,117.5333,0.8421751,0.25364733
114.212265,169.55664,1.0344311,0.31167716
175.83307,231.43729,1.1239625,0.55992246
200.07933,262.53714,1.3424406,0.58308715
87.5583,124.71545,0.8698911,0.28426215
77.48016,123.31241,0.8658762,0.18966654
97.38541,140.4794,0.8871258,0.28141665
249.54425,317.1227,1.5469103,0.75058293
78.31909,120.86367,0.8693279,0.21302126
77.799706,121.22698,0.9048902,0.19858067
112.40385,155.63857,0.91749525,0.33882752
92.61107,134.16019,0.8855534,0.27190575
82.686066,116.37818,0.85883427,0.24516833
