MAE,MSE,SFN,MAPE
25.282492,36.99139,0.000470321,0.28030166
20.88323,32.40749,0.0003773558,0.18968686
49.723526,73.04526,0.0006021725,0.33180645
18.783672,27.439392,0.0003027898,0.17486143
26.081522,44.30596,0.00039785897,0.16863512
15.952477,23.668335,0.00026425123,0.13948508
17.9049,27.119455,0.00027724716,0.14850216
14.895047,22.08435,0.00024462445,0.12875643
16.224865,23.72045,0.00024351208,0.16213359
14.722916,21.858316,0.00023489655,0.124735914
25.738163,35.063496,0.00025640594,0.24017377
13.657851,21.02975,0.00022129748,0.11385198
16.834087,26.67155,0.00023383141,0.12721808
12.881391,19.67729,0.00021260392,0.110125236
14.384987,23.498175,0.00021735864,0.110458195
16.475895,25.010214,0.00025646295,0.14675488
45.33199,59.928535,0.00035505235,0.3443318
13.02035,19.913061,0.00020207324,0.10694227
11.981427,18.828737,0.0001970626,0.0993779
15.339142,23.869114,0.00023166614,0.12643544
12.784961,19.599634,0.00020021581,0.1148806
15.446964,24.505976,0.00025034984,0.127467
28.263073,38.380024,0.00023228515,0.21895358
14.859511,23.457123,0.00020714769,0.11210765
13.729279,20.409023,0.00019331103,0.11328028
12.352761,19.052895,0.00018894403,0.10276815
10.907718,17.002844,0.00019335977,0.09094785
12.965085,19.466791,0.00019024094,0.11184148
13.420662,20.352253,0.00018869677,0.11725805
12.289187,18.84148,0.00018763125,0.10298478
10.620596,16.479263,0.00019819294,0.09007058
12.159108,18.048311,0.00017755176,0.10993016
17.177673,22.51843,0.00019306841,0.16413273
13.021673,19.567242,0.00018483205,0.108732395
18.576008,27.480438,0.0002040181,0.1494545
12.309032,18.676497,0.00018230494,0.10612237
32.468678,49.126827,0.00031707148,0.20805262
11.823833,17.718952,0.00017753738,0.10063273
17.63575,28.154263,0.00020717806,0.12911971
11.065485,17.42345,0.00017614289,0.093732566
14.715721,21.984701,0.00018060373,0.11744159
12.639552,19.994926,0.00019019058,0.104859956
26.949638,36.64122,0.00024422072,0.23632291
11.981944,19.436163,0.00018392604,0.09091964
29.105515,40.840202,0.000284105,0.24077657
